nation,date,Region,Total Population,GDP/Person (PPP$),Life Expectancy (y),Log(Total Population),Log(GDP/Person [PPP$])
Bahrain,1930,Middle East & North Africa,,,,,
Bahrain,1940,Middle East & North Africa,,,,,
Bahrain,1950,Middle East & North Africa,"115,612",9158.26528,41.164,5.063002914,3.961813219
Bahrain,1960,Middle East & North Africa,"161,825",12373.90803,51.866,5.209045616,4.092506884
Bahrain,1970,Middle East & North Africa,"211,878",16484.33688,63.45,5.326085865,4.217071481
Bahrain,1980,Middle East & North Africa,"357,957",19096.98462,69.549,5.55383086,4.280964798
Bahrain,1990,Middle East & North Africa,"492,891",17860.39158,72.382,5.692750888,4.251890976
Bahrain,2000,Middle East & North Africa,"638,193",22015.32286,74.497,5.804952036,4.342725059
Bahrain,2010,Middle East & North Africa,"1,261,835",24012.80725,76.203,6.101002569,4.380442935
Saudi Arabia,1800,Middle East & North Africa,"2,091,000",441.2682505,32.1,6.320354033,2.644702681
Saudi Arabia,1810,Middle East & North Africa,,,,,
Saudi Arabia,1820,Middle East & North Africa,"2,091,000",443.3554191,,6.320354033,2.646752021
Saudi Arabia,1830,Middle East & North Africa,,,,,
Saudi Arabia,1840,Middle East & North Africa,,,,,
Saudi Arabia,1850,Middle East & North Africa,,,,,
Saudi Arabia,1860,Middle East & North Africa,,,,,
Saudi Arabia,1870,Middle East & North Africa,"2,338,000",,,6.368844507,
Saudi Arabia,1880,Middle East & North Africa,,,,,
Saudi Arabia,1890,Middle East & North Africa,,,,,
Saudi Arabia,1900,Middle East & North Africa,,,,,
Saudi Arabia,1910,Middle East & North Africa,,,,,
Saudi Arabia,1920,Middle East & North Africa,,,,,
Saudi Arabia,1930,Middle East & North Africa,,,,,
Saudi Arabia,1940,Middle East & North Africa,,,,,
Saudi Arabia,1950,Middle East & North Africa,"3,121,337",5834.364691,40.973,6.49434066,3.765993572
Saudi Arabia,1960,Middle East & North Africa,"4,041,422",9726.957613,45.637,6.606534201,3.987977023
Saudi Arabia,1970,Middle East & North Africa,"5,771,846",19938.92397,52.692,6.761314735,4.299701717
Saudi Arabia,1980,Middle East & North Africa,"9,801,475",34568.06035,63.04,6.991291437,4.538675012
Saudi Arabia,1990,Middle East & North Africa,"16,139,053",23520.95202,68.962,7.207878048,4.371454896
Saudi Arabia,2000,Middle East & North Africa,"20,045,276",20001.87326,72.401,7.30201204,4.301070671
Saudi Arabia,2010,Middle East & North Africa,"27,448,086",23841.28888,74.832,7.438512066,4.37732973
Cape Verde,1800,Sub-Saharan Africa,"55,716",340,33.8,4.74597993,2.531478917
Cape Verde,1810,Sub-Saharan Africa,,,,,
Cape Verde,1820,Sub-Saharan Africa,"55,716",340,,4.74597993,2.531478917
Cape Verde,1830,Sub-Saharan Africa,,354.256104,,,2.549317342
Cape Verde,1840,Sub-Saharan Africa,,369.1099625,,,2.567155767
Cape Verde,1850,Sub-Saharan Africa,,384.586639,,,2.584994192
Cape Verde,1860,Sub-Saharan Africa,,400.7122482,,,2.602832617
Cape Verde,1870,Sub-Saharan Africa,,417.5139997,,,2.620671042
Cape Verde,1880,Sub-Saharan Africa,,435.0202438,,,2.638509467
Cape Verde,1890,Sub-Saharan Africa,,453.2605199,,,2.656347893
Cape Verde,1900,Sub-Saharan Africa,,472.2656055,,,2.674186318
Cape Verde,1910,Sub-Saharan Africa,,492.067569,,,2.692024743
Cape Verde,1920,Sub-Saharan Africa,,512.6998233,,,2.709863168
Cape Verde,1930,Sub-Saharan Africa,,534.1971822,,,2.727701593
Cape Verde,1940,Sub-Saharan Africa,,556.5959192,,,2.745540018
Cape Verde,1950,Sub-Saharan Africa,"178,064",579.933829,47.801,5.250576125,2.763378443
Cape Verde,1960,Sub-Saharan Africa,"210,933",654.575172,49.065,5.324144529,2.815959529
Cape Verde,1970,Sub-Saharan Africa,"274,282",798.3034154,52.213,5.438197308,2.902167987
Cape Verde,1980,Sub-Saharan Africa,"300,047",1084.093872,60.314,5.477189289,3.03506689
Cape Verde,1990,Sub-Saharan Africa,"348,165",1587.891309,66.081,5.541785111,3.200820772
Cape Verde,2000,Sub-Saharan Africa,"437,238",2291.289562,69.835,5.640717899,3.360079977
Cape Verde,2010,Sub-Saharan Africa,"495,999",3655.839336,74.094,5.695480801,3.562987101
Slovenia,1800,Europe & Central Asia,"469,664",1357.948316,36.6,5.671787273,3.132883241
Slovenia,1810,Europe & Central Asia,,,,,
Slovenia,1820,Europe & Central Asia,"469,664",1386.435052,,5.671787273,3.14189953
Slovenia,1830,Europe & Central Asia,,,,,
Slovenia,1840,Europe & Central Asia,,,,,
Slovenia,1850,Europe & Central Asia,,,,,
Slovenia,1860,Europe & Central Asia,,,,,
Slovenia,1870,Europe & Central Asia,,1743.210568,,,3.24134985
Slovenia,1880,Europe & Central Asia,,,,,
Slovenia,1890,Europe & Central Asia,,2453.372981,,,3.389763578
Slovenia,1900,Europe & Central Asia,,2624.987485,,,3.419127237
Slovenia,1910,Europe & Central Asia,,3075.835455,,,3.487963099
Slovenia,1920,Europe & Central Asia,,3001.069575,36.6,,3.477276064
Slovenia,1930,Europe & Central Asia,,3836.932868,,,3.583984201
Slovenia,1940,Europe & Central Asia,,,,,
Slovenia,1950,Europe & Central Asia,"1,473,094",4513.624141,64.451,6.168230461,3.654525392
Slovenia,1960,Europe & Central Asia,"1,580,010",7092.191728,68.675,6.198659836,3.850780468
Slovenia,1970,Europe & Central Asia,"1,669,731",10926.29303,69.421,6.22264651,4.038472844
Slovenia,1980,Europe & Central Asia,"1,831,881",17645.21904,71.017,6.262897258,4.246627054
Slovenia,1990,Europe & Central Asia,"1,926,701",16645.76222,73.86,6.284814323,4.221303687
Slovenia,2000,Europe & Central Asia,"1,985,406",19399.68944,76.11,6.29784933,4.287794778
Slovenia,2010,Europe & Central Asia,"2,029,680",24515.9774,79.125,6.307427572,4.389449212
Guatemala,1800,America,"458,965",682.7452878,25.8,5.661779568,2.834258711
Guatemala,1810,America,,,,,
Guatemala,1820,America,"595,000",682.7452878,,5.774516966,2.834258711
Guatemala,1830,America,,,,,
Guatemala,1840,America,,,,,
Guatemala,1850,America,"850,000",,,5.929418926,
Guatemala,1860,America,,,,,
Guatemala,1870,America,"1,080,000",,,6.033423755,
Guatemala,1880,America,,,,,
Guatemala,1890,America,,,,,
Guatemala,1900,America,"1,377,544",,,6.13910548,
Guatemala,1910,America,"1,526,954",,,6.183825954,
Guatemala,1920,America,"1,692,260",1517.046194,,6.228467089,3.180998805
Guatemala,1930,America,"1,876,639",2117.29858,,6.273380738,3.325782106
Guatemala,1940,America,"2,331,228",3269.570168,30.35248,6.367584751,3.514490662
Guatemala,1950,America,"3,146,073",2485.787385,41.371,6.497768796,3.39546398
Guatemala,1960,America,"4,158,956",2696.633625,45.533,6.618984326,3.430821946
Guatemala,1970,America,"5,447,687",3700.249771,52.041,6.736212147,3.56823104
Guatemala,1980,America,"7,036,484",5236.104176,57.171,6.847355704,3.719008279
Guatemala,1990,America,"8,923,131",4328.932886,62.163,6.950517269,3.636380853
Guatemala,2000,America,"11,237,101",4884.720925,67.768,7.050654284,3.688839757
